BUSINESS NAME,BUSINESS OPEN DATE,BUSINESS STATUS,BUSINESS CLOSE DATE,NAICS CODE,NAICS CATEGORY,NAICS GROUP,FULL STREET NAME,CITY,STATE,LATITUDE,LONGITUDE
RACETRAC PETROLEUM INC,12/03/2015,C,12/03/2015,447000,Gasoline Stations,RETAIL TRADE (G),FLORIDA BLVD,BATON ROUGE,LA,-91.138256069254,30.451680608741
RACETRAC PETROLEUM INC,12/03/2015,C,12/03/2015,447000,Gasoline Stations,RETAIL TRADE (G),FLORIDA BLVD,BATON ROUGE,LA,-91.138256069254,30.451680608741
SNO KWEEN OF LOUISIANA LLC,01/02/2015,O,,454000,Nonstore Retailers,RETAIL TRADE (G),CASA LOMA DR,BATON ROUGE,LA,-91.076197847435,30.461652334899
ROBERT B LANDRY III APLC,07/01/2014,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",CORPORATE BLVD,BATON ROUGE,LA,-91.134239098595,30.424479500968
JJ JEFFERSON LLC,05/10/2016,O,,445000,Food & Beverage Stores,RETAIL TRADE (G),JEFFERSON HWY,BATON ROUGE,LA,-91.102395662759,30.422223344418
D B SYSGRAPH INC,02/02/2015,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",S GLENSTONE PL,BATON ROUGE,LA,-91.106241341504,30.366945090805
J RIVET REALTY LLC,08/15/2017,O,,531000,Real Estate,FINANCE & INSURANCE,CARL AVE,BATON ROUGE,LA,-91.152976582014,30.413340801623
TAP BROTHERS LLC,04/26/2019,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),ARLINGTON CREEK CENTRE BLVD,BATON ROUGE,LA,-91.162206089114,30.389990672873
COLLEGE FRESH INC,08/01/2018,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),W LAKESHORE DR,BATON ROUGE,LA,-91.167081564177,30.41064680874
CHAU MARIA NGUYEN,05/15/2015,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),JEFFERSON HWY,BATON ROUGE,LA,-91.108156117715,30.430463012654
BEARD INTERNATIONAL SERVICES & TECHNOLOGIES LLC,01/01/2015,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",BULL RUN DR,BATON ROUGE,LA,-90.985332170521,30.407620350044
CAPITAL CITY COLLISON INC,11/15/2015,O,,811000,Repair & Maintenance,OTHER SERVICES (I),SCENIC HWY,BATON ROUGE,LA,-91.167834211277,30.47056298433
KAREN VORNKAHL,09/01/2015,O,,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),HOGENVILLE AVE,BATON ROUGE,LA,-91.00551708694,30.401585649261
PARKING MANAGEMENT COMPANY LLC,03/01/2016,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),LAFAYETTE ST,BATON ROUGE,LA,-91.189545908202,30.448569860027
KRISTINE DUPUY,01/01/2019,O,,711000,"Performing Arts, Spectator Sports & Related Industries","ARTS, ENTERTAINMENT & RECREATION (I)",S MARILYN DR,BATON ROUGE,LA,-91.077238887873,30.442480436374
J 4 EQUIPMENT LLC,03/01/2018,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),QUAIL RUN DR,BATON ROUGE,LA,-91.127396062131,30.405439960247
MURPHY OIL USA INC,11/10/2015,O,,447000,Gasoline Stations,RETAIL TRADE (G),O'NEAL LN,BATON ROUGE,LA,-91.007040020029,30.437024099981
MURPHY OIL USA INC,11/10/2015,O,,447000,Gasoline Stations,RETAIL TRADE (G),O'NEAL LN,BATON ROUGE,LA,-91.007040020029,30.437024099981
WAFFLE HOUSE INC,10/12/2016,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),COLLEGE DR,BATON ROUGE,LA,-91.136811615745,30.426517086389
SANS STUDIO LLC,10/01/2015,C,12/31/2016,815000,Miscellaneous Other Services,OTHER SERVICES (I),TURNLEY DR,BATON ROUGE,LA,-91.160602888686,30.556503955034
TONDALYNN ABRAHAN,08/15/2012,C,12/31/2015,812000,Personal & Laundry Services,OTHER SERVICES (I),N FOSTER DR,BATON ROUGE,LA,-91.140057377207,30.469096593405
DL METAL WORK LLC,08/01/2015,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),SORA ST,BATON ROUGE,LA,-91.174633158401,30.524888893361
